judge,paradigm
Aruljothi,"I am aLay Judge. I view debate as an exercise in persuasive communication and real-world
logic. If you could explain your argument to a well-informed neighbor or a teacher, you can
explain it to me. I value clarity, civil discourse, and narrative over technical ""tricks.""
Speed & Delivery
No Spreading:Please do not talk at a high rate of speed (spreading). If I can’t take notes on
your point because you’re moving too fast, I can’t weigh it in my decision.
Enunciation:Clear delivery is better than cramming in five extra sub-points. Use
""signposting"" (e.g., ""My first point is..."") so I can follow your roadmap.
Eye Contact:Try to look up from your laptop or flow sheet occasionally. Connection
matters!
Evidence & Logic
Quality > Quantity:I don’t need 20 citations; I need two or three well-explained pieces of
evidence that actually prove your point.
The ""Why"" Matters:Don't just tell me ""The study says X."" Tell mewhythat leads to your
conclusion. Logic should bridge the gap between your evidence and your claim.
Collapse the Round:In the final speeches, please don't try to cover every single tiny point.
Pick the most important issues and tell me why they mean you win the round.
Cross-Examination (Crossfire)
Civility:I appreciate assertive questioning, but please avoid being aggressive or rude.
Usage:I don't usually flow (take notes on) Crossfire for points, but I use it to understand
your personality and how well you know your material. If you make a great point in
Crossfire, make sure to bring it up again in your next speech.
How I Vote (RFD)
I vote for the team that tells the mostcoherent and convincing story.
Impacts:Tell me who is being helped or hurt by the policy we are discussing.
Clash:Don't just repeat your case. Address what the other team said and explain why your
argument is stronger.
Quick Tips for Debaters
No Jargon:Avoid terms like ""card,"" ""link-turn,"" or ""non-unique"" without explaining them in
plain English.
Timekeeping: Please keep track of your own prep time and speech times."
Hema,"First time judging, parent. Consider me as a 'lay' judge.
Please do not use any technical language as I am new to debate. I do not know about this
topic in detail at all.
I will take some notes, I like clear, slow, and coherent argumentation. Please speak at a
slow, conversational rate.
I will vote for the team that is the most persuasive in each speech and uses the crossfire
most effectively.
Please be nice to everyone. Debate is just a fun activity at the end of the day."
Fardeen,"I am an intermediate Judge with experience in judging 8 prior PF events and 2 LD events. I
would like the competitors to speak / recommend their case in ""medium"" speed.
Competitors should time themselves for each section of the debate."
Ben,judge and debater. Open to anything.
Garrison,"Tech over truth, pay attention to your speaks, and run whatever you want, as long as it's
not obfuscated."
George,"Go lay, I am a parent judge from DC. Substance > Prog; do not run theory or ks, I won’t
evaluate them. Logical arguments, don’t go too fast, warrant out responses. Comparative
weighing > passing args. Be clear & respectful.
Coherent logic + good form + team dynamics
Good luck!"
Sampath,"I’m a parent judge with about six months of experience, having judged 10-12 tournaments.
Here’s what you can expect from me:
Speak clearly and concisely.
Use appropriate and respectful language.
Treat all participants with courtesy.
Make full use of your allotted time.
I actively listen, take notes, and provide feedback during speeches and debates. Please be
clear in your arguments and responses—avoid overly technical language, and don’t speak
too fast, or I may struggle to follow.
I focus on the quality of arguments and logical reasoning. Be prepared to provide evidence
and sources, and make sure your arguments are well-defended and effectively refuted. I
keep an open mind throughout the debate, so convince me with strong, logical reasoning."
Tunde,"Hi everyone, couple of things to expect from me as a judge.
A, I expect abiding by time rules
B, Ensure you mechanise your claims
C, Cards are essential but ensure that they defend your statement.
D, I am.great at tracking, so you have nothing to worry about."
Himanshu,treat me like a lay judge. I value good speeches.
Surya,"Hi! I am a parent lay judge and this is my first time judging debate. Please go slow and
make your arguments clearly."
Sridhar,"I am a Quarry Lane parent and please add my email sridharreddyv@gmail.com to the
email chain. This is my third year at judging. I prefer debaters:
show respect to their opponents,
speak at a reasonable pace,
make a strong impact starting in the summary,
If possible, collapse in 2nd rebuttal and 1st summary to one contention each (""collapse"")
only make arguments in the summary/final focus that exist in the prior speech (""no new
args""),
use cross-fire for clarification and resolution (and not brand-new arguments),
Read direct quotes when first introducing evidence in a debate (i.e., do not paraphrase)."
Sanjeev,"Hi everyone! I am new to Judging, (have judged once before) so please be a little patient
with me.
I’ll be deciding the round based on clear logic, solid evidence, and good explanation — not
speed or technical debate rules.
Please speak clearly, signpost so I can follow, and tell me why your arguments matter
more in the end.
I really value respectful and organized debating. I’ll only evaluate arguments that are
carried through both summary and final focus.
My goal is to reward the team that best explains and defends their position clearly."
Deepti,"I am a parent judge, and this is my first time judging. Speak at a moderate pace and don't
use any complicated jargon that would make the round inaccessible to me. I will vote for
the team that prioritizes clarity, intuitivity, and logic of arguments."
Lakshmi Priya,West Windsor Plainsboro South 2 rounds 
Pavel,"I am a parent judge who has some experience in judging. I have judged several CFL's, so I
have a base experience. I value staying focused on the topic, emphasizing key points, and
strong supportive evidence. I recommend speaking calmly and clearly so that I can
understand and comprehend all the information in your case."
Sameer,"I have some experience judging Public Forum and I’m still getting comfortable with the
event, so clarity goes a long way with me. Please speak at a normal conversational pace. I
won’t be able to follow speed reading.
During the round, I take notes on the main claims, key responses, and important points.
My flow is functional but not as detailed as that of a highly experienced judge, so clear
structure help me track your arguments. I’m most persuaded by arguments that are
explained plainly.
In evaluating the round, I look for clear reasoning and strong impact comparison. I want to
understand why your argument matters and how it stacks up against what your
opponents are saying.
email -simsgpemail@gmail.com to share the docs"
Christina,"please add me to the email chain:christinanaxu@gmail.com
send all docs, including rebuttal
i sometimes debate, most results are viewable here
tech > truth
flow judge
i love theory - esp disclo/paraphrasing
please do weighing starting second summary at the minimum
use ballot direct language - your final focus should basically be what i should type down as
RFD, please assume i just woke up for the round
i love good case turns
extend well with the full uniqueness, link, warrant, impact
please collapse
any speed is ok
i dont listen to cross im watching my kdrama
be comparative
i will vote the path with least resistance- make the round easy for me so i don’t need to
think or intervene
i don’t really like Ks and don’t really get them
anything else just ask me before round"
Jimmy,"Hello!
I'm excited to be judging, and I'm a lay judge. I've judged PF debate before but still please
speak slowly and signpost.If I missed something, sorry. (so please repeat the important
points in your argument in each speech in the latter speeches). BE TRUTHFUL AND
RESPECTFUL TO WHAT IS IN YOUR CASE. Enunciate important things you want me to write
down and slow down before then so I know it's important. Please time yourselves and
don't get into arguments. Do not use fancy wording / debate jargon.
Good luck to you all!"
Nan,"I am relatively new to debate. Please speak slowly and clearly so I can understand you.
Please refrain from using complicated debate jargon, as I will not know what you mean.
My judging philosophy centers on clarity, logic, and engagement. I value debaters who can
clearly articulate their arguments, link evidence and claims logically, and engage directly
with their opponents’ points. I believe debate is not only about making persuasive
arguments but also about critical thinking and the ability to adapt and respond under
pressure. Enjoy the round."
Eman,
Patrick,"I am a lay parent judge, and please bear with me that I don't have much experience in
debate.
Please do not speak too fast.
Please introduce yourself before speaking.
Please share with me on your email chain or speech documents for anything with evidence
to patrick.yi@yahoo.com
Please respect your debate partner and your opponents.
Thank you and good luck to everyone!"
Sophie,"sophzhang10@gmail.com —> add me to the email chain pls
debated on natcir for 4 years @ unionville (LD, CX, PF) || cal '29
would say i'm mostly tech/flay (seeing as i have not heard spreading in a while), but i can
be whatever you want me to be
general:
- tech>truth
- tabula rasa (as much as one can be)
- implicate + warrant
- have a real back and forth. simply repeating responses said previously is not enough (i.e.
CLASH CLASH CLASH)
- signpost!! also would appreciate if an off-time roadmap is given before speeches
- defense is not sticky and concessions in cross are binding but only if you bring it up in
speech
- lowest speaks possible if u prep steal (ESPECIALLY in pf i have competed against and
judged teams who do this and it is incredibly annoying)
- keep your own time but i'll cut you off if you go too much over time
theory/prog:
- fine with most theory arguments just explain it well if you think it's obscure (also kinda
would love to eval a friv theory round js cus i think it’s fun)
- i hold theory to a higher standard in PF bc there's so little time to actually develop the
argument well
- lowk not that comfortable evaluating Ks, but you can run if you want js lmk + you should
probably overexplain a bit
- NO TRICKS i think they are so so silly
most importantly, WEIGH. it is so hard to evaluate a round when there is zero weighing,
and i'll have to default to what i believe/what your warrants were, which is extremely
subjective.
speaks:
- lowkey not real, i'll default to 28-29ish
- again, lowest speaks possible if you prep steal
- fun speaks stuff bc i think sometimes debate should be more entertaining
+0.2 if you win off friv theory
+0.2 if you quote a book, movie, or song cleanly in your speech (i.e. has to make
sense why you're quoting it)
+0.1 if you fluently debate in another language for 30 seconds
+0.1 if you make me laugh
important:
i have not done a lot of reading on the current topics so pls don't assume i'm familiar with
the evidence that's going around lmao. that being said, if BOTH teams agree to run a
previous topic, i have no issues with that
if you have any questions, feel free to ask :)"
Xiaorong,"I'm a parent judge.
I will take notes on the debate.
If you are going to speak fast, you may want to send the doc ahead of time to me email
xrzhou@gmail.com
Join the NSDA About Help Contact
Privacy Policy Terms"
